"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"                    Beneficiaries of temporary protection at the end of the month by citizenship, age and sex - monthly data"	"migr_asytpsm"	"dataset"	"27.10.2025"	"13.10.2025"	"2022-03"	"2025-09"	8513404
"                    Decisions withdrawing temporary protection by citizenship and reason - quarterly data"	"migr_asytpwq"	"dataset"	"24.10.2025"	"06.10.2025"	"2022-Q1"	"2025-Q3"	471740
"                Applications"	"migr_asyapp"	"folder"	" "	" "	" "	" "	
"                    Applications of unaccompanied minors"	"migr_asyum"	"folder"	" "	" "	" "	" "	
"                        Asylum applicants considered to be unaccompanied minors by citizenship, age and sex - annual data"	"migr_asyunaa"	"dataset"	"08.09.2025"	"14.01.2025"	"2008"	"2024"	2274093
"                            Asylum applicants considered to be unaccompanied minors - annual data"	"tps00194"	"table"	"08.09.2025"	"14.01.2025"	"2013"	"2024"	398
"                        Unaccompanied minor asylum applicants by type, citizenship, age and sex - annual aggregated data"	"migr_asyumacta"	"dataset"	"01.09.2025"	"07.05.2025"	"2021"	"2024"	1172178
"                        Unaccompanied minor asylum applicants by type, citizenship, age and sex - monthly data"	"migr_asyumactm"	"dataset"	"27.10.2025"	"03.10.2025"	"2021-01"	"2025-09"	16739224
"                        Unaccompanied minors subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data"	"migr_asyumpctm"	"dataset"	"27.10.2025"	"06.10.2025"	"2021-01"	"2025-09"	5534205
"                        Asylum applications of unaccompanied minors withdrawn by citizenship, age, sex and type of withdrawal - annual aggregated data"	"migr_asyumwita"	"dataset"	"01.09.2025"	"07.05.2025"	"2021"	"2024"	1559311
"                        Asylum applications of unaccompanied minors withdrawn by citizenship, age, sex and type of withdrawal - monthly data"	"migr_asyumwitm"	"dataset"	"27.10.2025"	"06.10.2025"	"2021-01"	"2025-09"	22082004
"                        Unaccompanied minor asylum applicants having had their applications processed under the accelerated procedure, by age, sex and citizenship - annual aggregated data"	"migr_asyumacca"	"dataset"	"22.09.2025"	"05.02.2025"	"2021"	"2024"	377392
"                        Unaccompanied minor asylum applicants having had their applications processed under the accelerated procedure, by age, sex and citizenship - monthly data"	"migr_asyumaccm"	"dataset"	"27.10.2025"	"06.10.2025"	"2021-01"	"2025-09"	5331280
"                    Applications - historical data"	"migr_asyapp_h"	"folder"	" "	" "	" "	" "	
"                        Asylum applicants by citizenship - annual data (until 2007)"	"migr_asyctz"	"dataset"	"04.07.2022"	"25.04.2024"	"1985"	"2007"	62555
"                        First time asylum applicants by citizenship - monthly data (until December 2007)"	"migr_asyctzm"	"dataset"	"04.07.2022"	"25.04.2024"	"1999-01"	"2007-12"	476704
"                    Asylum applicants by type, citizenship, age and sex - annual aggregated data"	"migr_asyappctza"	"dataset"	"01.09.2025"	"20.06.2025"	"2008"	"2024"	7524441
"                        Asylum applicants by type - annual aggregated data"	"tps00191"	"table"	"01.09.2025"	"20.06.2025"	"2013"	"2024"	914
"                    Asylum applicants by type, citizenship, age and sex - monthly data"	"migr_asyappctzm"	"dataset"	"27.10.2025"	"03.10.2025"	"2008-01"	"2025-09"	96883512
"                        Asylum applicants by type - monthly data"	"tps00189"	"table"	"27.10.2025"	"03.10.2025"	"2024-10"	"2025-09"	1081
"                    Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data"	"migr_asypenctzm"	"dataset"	"27.10.2025"	"03.10.2025"	"2008-01"	"2025-09"	42671874
"                        Persons subject of asylum applications pending at the end of the month - monthly data"	"tps00190"	"table"	"27.10.2025"	"03.10.2025"	"2024-10"	"2025-09"	355
"                    Asylum applications withdrawn by citizenship, age, sex and type of withdrawal - annual aggregated data"	"migr_asywitha"	"dataset"	"01.09.2025"	"05.02.2025"	"2008"	"2024"	6082702
"                    Asylum applications withdrawn by citizenship, age, sex and type of withdrawal - monthly data"	"migr_asywithm"	"dataset"	"27.10.2025"	"03.10.2025"	"2008-01"	"2025-09"	80078701
"                    Asylum applicants having had their applications processed under the accelerated procedure, by age, sex and citizenship - annual aggregated data"	"migr_asyacca"	"dataset"	"22.09.2025"	"05.02.2025"	"2021"	"2024"	817408
"                    Asylum applicants having had their applications processed under the accelerated procedure, by age, sex and citizenship - monthly data"	"migr_asyaccm"	"dataset"	"27.10.2025"	"03.10.2025"	"2021-01"	"2025-09"	11436296
"                    Applicants having benefited from material reception conditions at the end of the reference year - annual data"	"migr_asymrca"	"dataset"	"19.08.2025"	"14.01.2025"	"2021"	"2024"	121
"                Decisions on applications and resettlement"	"migr_asydec"	"folder"	" "	" "	" "	" "	
"                    Decisions on applications of unaccompanied minors and resettlement of unaccompanied minors"	"migr_asydum"	"folder"	" "	" "	" "	" "	
"                        First instance decisions on applications of unaccompanied minors by type of decision, citizenship, age and sex - annual aggregated data"	"migr_asyumdcfa"	"dataset"	"28.08.2025"	"17.06.2025"	"2021"	"2024"	2262516
"                        First instance decisions on applications of unaccompanied minors by type of decision, citizenship, age and sex - quarterly data"	"migr_asyumdcfq"	"dataset"	"24.10.2025"	"06.10.2025"	"2021-Q1"	"2025-Q3"	10375432
"                        Decisions withdrawing status granted at first instance decision to unaccompanied minors by type of status withdrawn, citizenship and reason - annual aggregated data"	"migr_asyumwifa"	"dataset"	"30.06.2025"	"17.06.2025"	"2021"	"2024"	485130
"                        Decisions withdrawing status granted at first instance decision to unaccompanied minors by type of status withdrawn, citizenship and reason - quarterly data"	"migr_asyumwifq"	"dataset"	"24.10.2025"	"06.10.2025"	"2021-Q1"	"2025-Q3"	2234070
"                        Final decisions in appeal or review on applications of unaccompanied minors by type of decision, citizenship, age and sex - annual data"	"migr_asyumdcfna"	"dataset"	"21.10.2025"	"17.06.2025"	"2021"	"2024"	2339784
"                        Decisions withdrawing status granted as final decision in appeal or review to unaccompanied minors by type of status withdrawn, citizenship and reason - annual data"	"migr_asyumwfna"	"dataset"	"21.10.2025"	"17.06.2025"	"2021"	"2024"	490280
"                        Resettled unaccompanied minors by age, sex and citizenship - annual data"	"migr_asyumresa"	"dataset"	"20.08.2025"	"15.01.2025"	"2021"	"2024"	421888
"                    Decisions on applications and resettlement - historical data"	"migr_asydec_h"	"folder"	" "	" "	" "	" "	
"                        Decisions on asylum applications by citizenship (until 2007) - annual data"	"migr_asydctzy"	"dataset"	"04.07.2022"	"10.07.2025"	"1999"	"2007"	235589
"                        Decisions on asylum applications by citizenship (until December 2007) - monthly data"	"migr_asydctzm"	"dataset"	"04.07.2022"	"10.07.2025"	"2002-01"	"2007-12"	2338193
"                    First instance decisions on applications by type of decision, citizenship, age and sex - annual aggregated data"	"migr_asydcfsta"	"dataset"	"28.08.2025"	"18.06.2025"	"2008"	"2024"	20975520
"                        First instance decisions on asylum applications by type of decision - annual aggregated data"	"tps00192"	"table"	"28.08.2025"	"18.06.2025"	"2013"	"2024"	2282
"                    First instance decisions on applications by type of decision, citizenship, age and sex - quarterly data"	"migr_asydcfstq"	"dataset"	"24.10.2025"	"06.10.2025"	"2008-Q1"	"2025-Q3"	86940488
"                    Decisions withdrawing status granted at first instance decision by type of status withdrawn, citizenship and reason - annual aggregated data"	"migr_asywitfsta"	"dataset"	"30.06.2025"	"17.06.2025"	"2008"	"2024"	826821
"                    Decisions withdrawing status granted at first instance decision by type of status withdrawn, citizenship and reason - quarterly data"	"migr_asywitfstq"	"dataset"	"24.10.2025"	"06.10.2025"	"2008-Q1"	"2025-Q3"	3609305
"                    Final decisions in appeal or review on applications by type of decision, citizenship, age and sex - annual data"	"migr_asydcfina"	"dataset"	"21.10.2025"	"20.06.2025"	"2008"	"2024"	20953978
"                        Final decisions on asylum applications by type of decision - annual data"	"tps00193"	"table"	"21.10.2025"	"20.06.2025"	"2013"	"2024"	2282
"                    Decisions withdrawing status granted as final decision in appeal or review by type of status withdrawn, citizenship and reason - annual data"	"migr_asywitfina"	"dataset"	"21.10.2025"	"17.06.2025"	"2008"	"2024"	773218
"                    Resettled persons by age, sex and citizenship - annual data"	"migr_asyresa"	"dataset"	"20.08.2025"	"14.01.2025"	"2008"	"2024"	3581896
"                        Resettled persons - annual data"	"tps00195"	"table"	"20.08.2025"	"14.01.2025"	"2013"	"2024"	391
"                    Resettled persons by age, sex, citizenship and country of previous residence - annual data"	"migr_asyrescra"	"dataset"	"20.08.2025"	"15.01.2025"	"2021"	"2024"	170617770
"                    Resettled persons by age, sex, citizenship and decision - annual data"	"migr_asyresda"	"dataset"	"20.08.2025"	"17.06.2025"	"2021"	"2024"	4218880
"                    Resettled persons by age, sex, citizenship and resettlement framework - annual data"	"migr_asyrelfa"	"dataset"	"20.08.2025"	"14.01.2025"	"2021"	"2024"	3336118
"                'Dublin' statistics"	"migr_dub"	"folder"	" "	" "	" "	" "	
"                    'Dublin' requests"	"migr_dubreq"	"folder"	" "	" "	" "	" "	
"                        Incoming 'Dublin' requests by submitting country (PARTNER), type of request, legal provision, sex and type of applicant"	"migr_dubri"	"dataset"	"04.07.2025"	"11.04.2025"	"2008"	"2024"	6645545
"                        Outgoing 'Dublin' requests by receiving country (PARTNER), type of request, legal provision, sex and type of applicant"	"migr_dubro"	"dataset"	"04.07.2025"	"11.04.2025"	"2008"	"2024"	6712332
"                        Incoming 'Dublin' requests based on EURODAC by submitting country (PARTNER), type of request, legal provision, sex and type of applicant"	"migr_dubredaci"	"dataset"	"04.07.2025"	"11.04.2025"	"2008"	"2024"	829281
"                        Outgoing 'Dublin' requests based on EURODAC by receiving country (PARTNER), type of request, legal provision, sex and type of applicant"	"migr_dubredaco"	"dataset"	"04.07.2025"	"11.04.2025"	"2008"	"2024"	812924
"                        Pending 'Dublin' incoming requests by submitting country (PARTNER), type of request, sex and type of applicant"	"migr_dubrpeni"	"dataset"	"17.06.2025"	"11.04.2025"	"2008"	"2024"	261091
"                        Pending 'Dublin' outgoing requests by receiving country (PARTNER), type of request, sex and type of applicant"	"migr_dubrpeno"	"dataset"	"04.06.2025"	"11.04.2025"	"2008"	"2024"	256853
"                        Incoming 'Dublin' requests for information by submitting country (PARTNER), legal provision, sex and type of applicant"	"migr_dubrinfi"	"dataset"	"04.07.2025"	"11.04.2025"	"2008"	"2024"	348956
"                        Outgoing 'Dublin' requests for information by receiving country (PARTNER), legal provision, sex and type of applicant"	"migr_dubrinfo"	"dataset"	"04.07.2025"	"11.04.2025"	"2008"	"2024"	349632
"                        Incoming responses to 'Dublin' requests for information by submitting country (PARTNER), legal provision, duration of response, sex and type of applicant"	"migr_dubresi"	"dataset"	"10.06.2025"	"11.04.2025"	"2008"	"2024"	1343487
"                        Outgoing responses to 'Dublin' requests for information by receiving country (PARTNER), legal provision, duration of response, sex and type of applicant"	"migr_dubreso"	"dataset"	"10.06.2025"	"11.04.2025"	"2008"	"2024"	1338504
"                    Decisions on 'Dublin' requests"	"migr_dubdec"	"folder"	" "	" "	" "	" "	
"                        Unilateral 'Dublin' decisions by partner country, type of decision, sex and type of applicant"	"migr_dubduni"	"dataset"	"04.07.2025"	"11.04.2025"	"2014"	"2024"	468505
"                        Decisions on incoming 'Dublin' requests by submitting country (PARTNER), type of decision, type of request, legal provision, sex and type of applicant"	"migr_dubdi"	"dataset"	"04.07.2025"	"11.04.2025"	"2008"	"2024"	19975916
"                        Decisions on outgoing 'Dublin' requests by receiving country (PARTNER), type of decision, type of request, legal provision, sex and type of applicant"	"migr_dubdo"	"dataset"	"04.07.2025"	"11.04.2025"	"2008"	"2024"	20271148
"                        Decisions on incoming 'Dublin' requests based on EURODAC by submitting country (PARTNER), type of request, sex and type of applicant"	"migr_dubdedaci"	"dataset"	"04.07.2025"	"11.04.2025"	"2008"	"2024"	2523546
"                        Decisions on outgoing 'Dublin' requests based on EURODAC by receiving country (PARTNER), type of request, sex and type of applicant"	"migr_dubdedaco"	"dataset"	"04.07.2025"	"11.04.2025"	"2008"	"2024"	2481228
"                    Transfers"	"migr_dubtransf"	"folder"	" "	" "	" "	" "	
"                        Incoming 'Dublin' transfers by submitting country (PARTNER), legal provision, duration of transfer, sex and type of applicant"	"migr_dubti"	"dataset"	"04.07.2025"	"11.04.2025"	"2008"	"2024"	10475976
"                        Outgoing 'Dublin' transfers by receiving country (PARTNER), legal provision, duration of transfer, sex and type of applicant"	"migr_dubto"	"dataset"	"04.07.2025"	"11.04.2025"	"2008"	"2024"	11364735
"                        Pending incoming 'Dublin' transfers by submitting country (PARTNER), sex and type of applicant"	"migr_dubtpeni"	"dataset"	"10.06.2025"	"11.04.2025"	"2014"	"2024"	87538
"                        Pending outgoing 'Dublin' transfers by receiving country (PARTNER), sex and type of applicant"	"migr_dubtpeno"	"dataset"	"10.06.2025"	"11.04.2025"	"2014"	"2024"	91072
"            Managed migration"	"migr_man"	"folder"	" "	" "	" "	" "	
"                Managed migration indicators"	"migr_manind"	"folder"	" "	" "	" "	" "	
"                    Irregular migration and return indicators"	"migr_eilind"	"folder"	" "	" "	" "	" "	
"                        Returns by type of return - % of total returns"	"migr_eilretpc"	"dataset"	"13.10.2025"	"29.09.2025"	"2021-Q1"	"2025-Q2"	2786
"                        Persons subject to immigration law enforcement - per thousand persons"	"migr_eilpop"	"dataset"	"22.05.2025"	"22.05.2025"	"2008"	"2024"	2058
"                    Residence permits indicators"	"migr_resind"	"folder"	" "	" "	" "	" "	
"                        First residence permits - per thousand persons"	"migr_respop"	"dataset"	"10.10.2025"	"20.08.2025"	"2008"	"2024"	522
"                        First residence permits by reasons - % of total first residence permits"	"migr_resfpc"	"dataset"	"12.09.2025"	"05.06.2025"	"2008"	"2024"	2088
"                        Valid permits by reasons - % of total valid permits"	"migr_resspc"	"dataset"	"13.10.2025"	"05.06.2025"	"2008"	"2024"	2828
"                Enforcement of Immigration Legislation"	"migr_eil"	"folder"	" "	" "	" "	" "	
"                    Third country nationals refused entry at the external borders - annual data (rounded)"	"migr_eirfs"	"dataset"	"14.08.2025"	"03.04.2025"	"2008"	"2024"	3308584
